 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Temperature (F), Relative Humidity (%), Heat Index (F)
6,38,6
6,39,6
6,40,6
7,1,7
7,2,7
7,3,7
7,4,7
7,5,7
7,6,7
7,7,7
7,8,7
7,9,7
7,10,7
7,11,7
7,12,7
7,13,7
7,14,7
7,15,7
7,16,7
7,17,7
7,18,7
7,19,7
7,20,7
7,21,7
7,22,7
7,23,7
7,24,7
7,25,7
7,26,7
7,27,7
7,28,7
7,29,7
7,30,7
7,31,7
7,32,7
7,33,7
7,34,7
7,35,7
7,36,7
7,37,7
7,38,7
7,39,7
7,40,7
8,1,8
8,2,8
8,3,8
8,4,8
8,5,8
8,6,8
8,7,8
8,8,8
8,9,8
8,10,8
8,11,8
8,12,8
8,13,8
8,14,8
8,15,8
8,16,8
8,17,8
8,18,8
8,19,8
8,20,8
8,21,8
8,22,8
8,23,8
8,24,8
8,25,8
8,26,8
8,27,8
8,28,8
8,29,8
8,30,8
8,31,8
8,32,8
8,33,8
8,34,8
8,35,8
8,36,8
8,37,8
8,38,8
8,39,8
8,40,8
9,1,9
9,2,9
9,3,9
9,4,9
9,5,9
9,6,9
9,7,9
9,8,9
9,9,9
9,10,9
9,11,9
9,12,9
9,13,9
9,14,9
9,15,9
9,16,9
9,17,9
9,18,9
9,19,9
9,20,9
9,21,9
9,22,9
9,23,9
9,24,9
9,25,9
9,26,9
9,27,9
9,28,9
9,29,9
9,30,9
9,31,9
9,32,9
9,33,9
9,34,9
9,35,9
9,36,9
9,37,9
9,38,9
9,39,9
9,40,9
10,1,10
10,2,10
10,3,10
10,4,10
10,5,10
10,6,10
10,7,10
10,8,10
10,9,10
10,10,10
10,11,10
10,12,10
10,13,10
10,14,10
10,15,10
10,16,10
10,17,10
10,18,10
10,19,10
10,20,10
10,21,10
10,22,10
10,23,10
10,24,10
10,25,10
10,26,10
10,27,10
10,28,10
10,29,10
10,30,10
10,31,10
10,32,10
10,33,10
10,34,10
10,35,10
10,36,10
10,37,10
10,38,10
10,39,10
10,40,10
11,1,11
11,2,11
11,3,11
11,4,11
11,5,11
11,6,11
11,7,11
11,8,11
11,9,11
11,10,11
11,11,11
11,12,11
11,13,11
11,14,11
11,15,11
11,16,11
11,17,11
11,18,11
11,19,11
11,20,11
11,21,11
11,22,11
11,23,11
11,24,11
11,25,11
11,26,11
11,27,11
11,28,11
11,29,11
11,30,11
11,31,11
11,32,11
11,33,11
11,34,11
11,35,11
11,36,11
11,37,11
11,38,11
11,39,11
11,40,11
12,1,12
12,2,12
12,3,12
12,4,12
12,5,12
12,6,12
12,7,12
12,8,12
12,9,12
12,10,12
12,11,12
12,12,12
12,13,12
12,14,12
12,15,12
12,16,12
12,17,12
12,18,12
12,19,12
12,20,12
12,21,12
12,22,12
12,23,12
12,24,12
12,25,12
12,26,12
12,27,12
12,28,12
12,29,12
12,30,12
12,31,12
12,32,12
12,33,12
12,34,12
12,35,12
12,36,12
12,37,12
12,38,12
12,39,12
12,40,12
13,1,13
13,2,13
13,3,13
13,4,13
13,5,13
13,6,13
13,7,13
13,8,13
13,9,13
13,10,13
13,11,13
13,12,13
13,13,13
13,14,13
13,15,13
13,16,13
13,17,13
13,18,13
13,19,13
13,20,13
13,21,13
13,22,13
13,23,13
13,24,13
13,25,13
13,26,13
13,27,13
13,28,13
13,29,13
13,30,13
13,31,13
13,32,13
13,33,13
13,34,13
13,35,13
13,36,13
13,37,13
13,38,13
13,39,13
13,40,13
14,1,14
14,2,14
14,3,14
14,4,14
14,5,14
14,6,14
14,7,14
14,8,14
14,9,14
14,10,14
14,11,14
14,12,14
14,13,14
14,14,14
14,15,14
14,16,14
14,17,14
14,18,14
14,19,14
14,20,14
14,21,14
14,22,14
14,23,14
14,24,14
14,25,14
14,26,14
14,27,14
14,28,14
14,29,14
14,30,14
14,31,14
14,32,14
14,33,14
14,34,14
14,35,14
14,36,14
14,37,14
14,38,14
14,39,14
14,40,14
15,1,15
15,2,15
15,3,15
15,4,15
15,5,15
15,6,15
15,7,15
15,8,15
15,9,15
15,10,15
15,11,15
15,12,15
15,13,15
15,14,15
15,15,15
15,16,15
15,17,15
15,18,15
15,19,15
15,20,15
15,21,15
15,22,15
15,23,15
15,24,15
15,25,15
15,26,15
15,27,15
15,28,15
15,29,15
15,30,15
15,31,15
15,32,15
15,33,15
15,34,15
15,35,15
15,36,15
15,37,15
15,38,15
15,39,15
15,40,15
16,1,16
16,2,16
16,3,16
16,4,16
16,5,16
16,6,16
16,7,16
16,8,16
16,9,16
16,10,16
16,11,16
16,12,16
16,13,16
16,14,16
16,15,16
16,16,16
16,17,16
16,18,16
16,19,16
16,20,16
16,21,16
16,22,16
16,23,16
16,24,16
16,25,16
16,26,16
16,27,16
16,28,16
16,29,16
16,30,16
16,31,16
16,32,16
16,33,16
16,34,16
16,35,16
16,36,16
16,37,16
16,38,16
16,39,16
16,40,16
17,1,17
17,2,17
17,3,17
17,4,17
17,5,17
17,6,17
17,7,17
17,8,17
17,9,17
17,10,17
17,11,17
17,12,17
17,13,17
17,14,17
17,15,17
17,16,17
17,17,17
17,18,17
17,19,17
17,20,17
17,21,17
17,22,17
17,23,17
17,24,17
17,25,17
17,26,17
17,27,17
17,28,17
17,29,17
17,30,17
17,31,17
17,32,17
17,33,17
17,34,17
17,35,17
17,36,17
17,37,17
17,38,17
17,39,17
17,40,17
18,1,18
18,2,18
18,3,18
18,4,18
18,5,18
18,6,18
18,7,18
18,8,18
18,9,18
18,10,18
18,11,18
18,12,18
18,13,18
18,14,18
18,15,18
18,16,18
18,17,18
18,18,18
18,19,18
18,20,18
18,21,18
18,22,18
18,23,18
18,24,18
18,25,18
18,26,18
18,27,18
18,28,18
18,29,18
18,30,18
18,31,18
18,32,18
18,33,18
18,34,18
18,35,18
18,36,18
18,37,18
18,38,18
18,39,18
18,40,18
19,1,19
19,2,19
19,3,19
19,4,19
19,5,19
19,6,19
19,7,19
19,8,19
19,9,19
19,10,19
19,11,19
19,12,19
19,13,19
19,14,19
19,15,19
19,16,19
19,17,19
19,18,19
19,19,19
19,20,19
19,21,19
19,22,19
19,23,19
19,24,19
19,25,19
19,26,19
19,27,19
19,28,19
19,29,19
19,30,19
19,31,19
19,32,19
19,33,19
19,34,19
19,35,19
19,36,19
19,37,19
19,38,19
19,39,19
19,40,19
20,1,20
20,2,20
20,3,20
20,4,20
20,5,20
20,6,20
20,7,20
20,8,20
20,9,20
20,10,20
20,11,20
20,12,20
20,13,20
20,14,20
20,15,20
20,16,20
20,17,20
20,18,20
20,19,20
20,20,20
20,21,20
20,22,20
20,23,20
20,24,20
20,25,20
20,26,20
20,27,20
20,28,20
20,29,20
20,30,20
20,31,20
20,32,20
20,33,20
20,34,20
20,35,20
20,36,20
20,37,20
20,38,20
20,39,20
20,40,20
21,1,21
21,2,21
21,3,21
21,4,21
21,5,21
21,6,21
21,7,21
21,8,21
21,9,21
21,10,21
21,11,21
21,12,21
21,13,21
21,14,21
21,15,21
21,16,21
21,17,21
21,18,21
21,19,21
21,20,21
21,21,21
21,22,21
21,23,21
21,24,21
21,25,21
21,26,21
21,27,21
21,28,21
21,29,21
21,30,21
21,31,21
21,32,21
21,33,21
21,34,21
21,35,21
21,36,21
21,37,21
21,38,21
21,39,21
21,40,21
22,1,22
22,2,22
22,3,22
22,4,22
22,5,22
22,6,22
22,7,22
22,8,22
22,9,22
22,10,22
22,11,22
22,12,22
22,13,22
22,14,22
22,15,22
22,16,22
22,17,22
22,18,22
22,19,22
22,20,22
22,21,22
22,22,22
22,23,22
22,24,22
22,25,22
22,26,22
22,27,22
22,28,22
22,29,22
22,30,22
22,31,22
22,32,22
22,33,22
22,34,22
22,35,22
22,36,22
22,37,22
22,38,22
22,39,22
22,40,22
23,1,23
23,2,23
23,3,23
23,4,23
23,5,23
23,6,23
23,7,23
23,8,23
23,9,23
23,10,23
23,11,23
23,12,23
23,13,23
23,14,23
23,15,23
23,16,23
23,17,23
23,18,23
23,19,23
23,20,23
23,21,23
23,22,23
23,23,23
23,24,23
23,25,23
23,26,23
23,27,23
23,28,23
23,29,23
23,30,23
23,31,23
23,32,23
23,33,23
23,34,23
23,35,23
23,36,23
23,37,23
23,38,23
23,39,23
23,40,23
24,1,24
24,2,24
24,3,24
24,4,24
24,5,24
24,6,24
24,7,24
24,8,24
24,9,24
24,10,24
24,11,24
24,12,24
24,13,24
24,14,24
24,15,24
24,16,24
24,17,24
24,18,24
24,19,24
24,20,24
24,21,24
24,22,24
24,23,24
24,24,24
24,25,24
24,26,24
24,27,24
24,28,24
24,29,24
24,30,24
24,31,24
24,32,24
24,33,24
24,34,24
24,35,24
24,36,24
24,37,24
24,38,24
24,39,24
24,40,24
25,1,25
25,2,25
25,3,25
25,4,25
25,5,25
25,6,25
25,7,25
25,8,25
25,9,25
25,10,25
25,11,25
25,12,25
25,13,25
25,14,25
25,15,25
25,16,25
25,17,25
25,18,25
25,19,25
25,20,25
25,21,25
25,22,25
25,23,25
25,24,25
25,25,25
25,26,25
25,27,25
25,28,25
25,29,25
25,30,25
25,31,25
25,32,25
25,33,25
25,34,25
25,35,25
25,36,25
25,37,25
25,38,25
25,39,25
25,40,25
26,1,26
26,2,26
26,3,26
26,4,26
26,5,26
26,6,26
26,7,26
26,8,26
26,9,26
26,10,26
26,11,26
26,12,26
26,13,26
26,14,26
26,15,26
26,16,26
26,17,26
26,18,26
26,19,26
26,20,26
26,21,26
26,22,26
26,23,26
26,24,26
26,25,26
26,26,26
26,27,26
26,28,26
26,29,26
26,30,26
26,31,26
26,32,26
26,33,26
26,34,26
26,35,26
26,36,26
26,37,26
26,38,26
26,39,26
26,40,26
27,1,27
27,2,27
27,3,27
27,4,27
27,5,27
27,6,27
27,7,27
27,8,27
27,9,27
27,10,27
27,11,27
27,12,27
27,13,27
27,14,27
27,15,27
27,16,27
27,17,27
27,18,27
27,19,27
27,20,27
27,21,27
27,22,27
27,23,27
27,24,27
27,25,27
27,26,27
27,27,27
27,28,27
27,29,27
27,30,27
27,31,27
27,32,27
27,33,27
27,34,27
27,35,27
27,36,27
27,37,27
27,38,27
27,39,27
27,40,27
28,1,28
28,2,28
28,3,28
28,4,28
28,5,28
28,6,28
28,7,28
28,8,28
28,9,28
28,10,28
28,11,28
28,12,28
28,13,28
28,14,28
28,15,28
28,16,28
28,17,28
28,18,28
28,19,28
28,20,28
28,21,28
28,22,28
28,23,28
28,24,28
28,25,28
28,26,28
28,27,28
28,28,28
28,29,28
28,30,28
28,31,28
28,32,28
28,33,28
28,34,28
28,35,28
28,36,28
28,37,28
28,38,28
28,39,28
28,40,28
29,1,29
29,2,29
29,3,29
29,4,29
29,5,29
29,6,29
29,7,29
29,8,29
29,9,29
29,10,29
29,11,29
29,12,29
29,13,29
29,14,29
29,15,29
29,16,29
29,17,29
29,18,29
29,19,29
29,20,29
29,21,29
29,22,29
29,23,29
29,24,29
29,25,29
29,26,29
29,27,29
29,28,29
29,29,29
29,30,29
29,31,29
29,32,29
29,33,29
29,34,29
29,35,29
29,36,29
29,37,29
29,38,29
29,39,29
29,40,29
30,1,30
30,2,30
30,3,30
30,4,30
30,5,30
30,6,30
30,7,30
30,8,30
30,9,30
30,10,30
30,11,30
30,12,30
30,13,30
30,14,30
30,15,30
30,16,30
30,17,30
30,18,30
30,19,30
30,20,30
30,21,30
30,22,30
30,23,30
30,24,30
30,25,30
30,26,30
30,27,30
30,28,30
30,29,30
30,30,30
30,31,30
30,32,30
30,33,30
30,34,30
30,35,30
30,36,30
30,37,30
30,38,30
30,39,30
30,40,30
31,1,31
31,2,31
31,3,31
31,4,31
31,5,31
31,6,31
31,7,31
31,8,31
31,9,31
31,10,31
31,11,31
31,12,31
31,13,31
31,14,31
31,15,31
31,16,31
31,17,31
31,18,31
31,19,31
31,20,31
31,21,31
31,22,31
31,23,31
31,24,31
31,25,31
31,26,31
31,27,31
31,28,31
31,29,31
31,30,31
31,31,31
31,32,31
31,33,31
31,34,31
31,35,31
31,36,31
31,37,31
31,38,31
31,39,31
31,40,31
32,1,32
32,2,32
32,3,32
32,4,32
32,5,32
32,6,32
32,7,32
32,8,32
32,9,32
32,10,32
32,11,32
32,12,32
32,13,32
32,14,32
32,15,32
32,16,32
32,17,32
32,18,32
32,19,32
32,20,32
32,21,32
32,22,32
32,23,32
32,24,32
32,25,32
32,26,32
32,27,32
32,28,32
32,29,32
32,30,32
32,31,32
32,32,32
32,33,32
32,34,32
32,35,32
32,36,32
32,37,32
32,38,32
32,39,32
32,40,32
33,1,33
33,2,33
33,3,33
33,4,33
33,5,33
33,6,33
33,7,33
33,8,33
33,9,33
33,10,33
33,11,33
33,12,33
33,13,33
33,14,33
33,15,33
33,16,33
33,17,33
33,18,33
33,19,33
33,20,33
33,21,33
33,22,33
33,23,33
33,24,33
33,25,33
33,26,33
33,27,33
33,28,33
33,29,33
33,30,33
33,31,33
33,32,33
33,33,33
33,34,33
33,35,33
33,36,33
33,37,33
33,38,33
33,39,33
33,40,33
34,1,34
34,2,34
34,3,34
34,4,34
34,5,34
34,6,34
34,7,34
34,8,34
34,9,34
34,10,34
34,11,34
34,12,34
34,13,34
34,14,34
34,15,34
34,16,34
34,17,34
34,18,34
34,19,34
34,20,34
34,21,34
34,22,34
34,23,34
34,24,34
34,25,34
34,26,34
34,27,34
34,28,34
34,29,34
34,30,34
34,31,34
34,32,34
34,33,34
34,34,34
34,35,34
34,36,34
34,37,34
34,38,34
34,39,34
34,40,34
35,1,35
35,2,35
35,3,35
35,4,35
35,5,35
35,6,35
35,7,35
35,8,35
35,9,35
35,10,35
35,11,35
35,12,35
35,13,35
35,14,35
35,15,35
35,16,35
35,17,35
35,18,35
35,19,35
35,20,35
35,21,35
35,22,35
35,23,35
35,24,35
35,25,35
35,26,35
35,27,35
35,28,35
35,29,35
35,30,35
35,31,35
35,32,35
35,33,35
35,34,35
35,35,35
35,36,35
35,37,35
35,38,35
35,39,35
35,40,35
36,1,36
36,2,36
36,3,36
36,4,36
36,5,36
36,6,36
36,7,36
36,8,36
36,9,36
36,10,36
36,11,36
36,12,36
36,13,36
36,14,36
36,15,36
36,16,36
36,17,36
36,18,36
36,19,36
36,20,36
36,21,36
36,22,36
36,23,36
36,24,36
36,25,36
36,26,36
36,27,36
36,28,36
36,29,36
36,30,36
36,31,36
36,32,36
36,33,36
36,34,36
36,35,36
36,36,36
36,37,36
36,38,36
36,39,36
36,40,36
37,1,37
37,2,37
37,3,37
37,4,37
37,5,37
37,6,37
37,7,37
37,8,37
37,9,37
37,10,37
37,11,37
37,12,37
37,13,37
37,14,37
37,15,37
37,16,37
37,17,37
37,18,37
37,19,37
37,20,37
37,21,37
37,22,37
37,23,37
37,24,37
37,25,37
37,26,37
37,27,37
37,28,37
37,29,37
37,30,37
37,31,37
37,32,37
37,33,37
37,34,37
37,35,37
37,36,37
37,37,37
37,38,37
37,39,37
37,40,37
38,1,38
38,2,38
38,3,38
38,4,38
38,5,38
38,6,38
38,7,38
38,8,38
38,9,38
38,10,38
38,11,38
38,12,38
38,13,38
38,14,38
38,15,38
38,16,38
38,17,38
38,18,38
38,19,38
38,20,38
38,21,38
38,22,38
38,23,38
38,24,38
38,25,38
38,26,38
38,27,38
38,28,38
38,29,38
38,30,38
38,31,38
38,32,38
38,33,38
38,34,38
38,35,38
38,36,38
38,37,38
38,38,38
38,39,38
38,40,38
39,1,39
39,2,39
39,3,39
39,4,39
39,5,39
39,6,39
39,7,39
39,8,39
39,9,39
39,10,39
39,11,39
39,12,39
39,13,39
39,14,39
39,15,39
39,16,39
39,17,39
39,18,39
39,19,39
39,20,39
39,21,39
39,22,39
39,23,39
39,24,39
39,25,39
39,26,39
39,27,39
39,28,39
39,29,39
39,30,39
39,31,39
39,32,39
39,33,39
39,34,39
39,35,39
39,36,39
39,37,39
39,38,39
39,39,39
39,40,39
40,1,40
40,2,40
40,3,40
40,4,40
40,5,40
40,6,40
40,7,40
40,8,40
40,9,40
40,10,40
40,11,40
40,12,40
40,13,40
40,14,40
40,15,40
40,16,40
40,17,40
40,18,40
40,19,40
40,20,40
40,21,40
40,22,40
40,23,40
40,24,40
40,25,40
40,26,40
40,27,40
40,28,40
40,29,40
40,30,40
40,31,40
40,32,40
40,33,40
40,34,40
40,35,40
40,36,40
40,37,40
40,38,40
40,39,40
40,40,40
41,1,37.9235
41,2,37.947
41,3,37.9705
41,4,37.994
41,5,38.0175
41,6,38.041
41,7,38.0645
41,8,38.088
41,9,38.1115
41,10,38.135
41,11,38.1585
41,12,38.182
41,13,38.2055
41,14,38.229
41,15,38.2525
41,16,38.276
41,17,38.2995
41,18,38.323
41,19,38.3465
41,20,38.37
41,21,38.3935
41,22,38.417
41,23,38.4405
41,24,38.464
41,25,38.4875
41,26,38.511
41,27,38.5345
41,28,38.558
41,29,38.5815
41,30,38.605
41,31,38.6285
41,32,38.652
41,33,38.6755
41,34,38.699
41,35,38.7225
41,36,38.746
41,37,38.7695
41,38,38.793
41,39,38.8165
41,40,38.84
42,1,38.9735
42,2,38.997
42,3,39.0205
42,4,39.044
42,5,39.0675
42,6,39.091
42,7,39.1145
42,8,39.138
42,9,39.1615
42,10,39.185
42,11,39.2085
42,12,39.232
42,13,39.2555
42,14,39.279
42,15,39.3025
42,16,39.326
42,17,39.3495
42,18,39.373
42,19,39.3965
42,20,39.42
42,21,39.4435
42,22,39.467
42,23,39.4905
42,24,39.514
42,25,39.5375
42,26,39.561
42,27,39.5845
42,28,39.608
42,29,39.6315
42,30,39.655
42,31,39.6785
42,32,39.702
42,33,39.7255
42,34,39.749
42,35,39.7725
42,36,39.796
42,37,39.8195
42,38,39.843
42,39,39.8665
42,40,39.89
43,1,40.0235
43,2,40.047
43,3,40.0705
43,4,40.094
43,5,40.1175
43,6,40.141
43,7,40.1645
43,8,40.188
43,9,40.2115
43,10,40.235
43,11,40.2585
43,12,40.282
43,13,40.3055
43,14,40.329
43,15,40.3525
43,16,40.376
43,17,40.3995
43,18,40.423
43,19,40.4465
43,20,40.47
43,21,40.4935
43,22,40.517
43,23,40.5405
43,24,40.564
43,25,40.5875
43,26,40.611
43,27,40.6345
43,28,40.658
43,29,40.6815
43,30,40.705
43,31,40.7285
43,32,40.752
43,33,40.7755
43,34,40.799
43,35,40.8225
43,36,40.846
43,37,40.8695
43,38,40.893
43,39,40.9165
43,40,40.94
44,1,41.0735
44,2,41.097
44,3,41.1205
44,4,41.144
44,5,41.1675
44,6,41.191
44,7,41.2145
44,8,41.238
44,9,41.2615
44,10,41.285
44,11,41.3085
44,12,41.332
44,13,41.3555
44,14,41.379
44,15,41.4025
44,16,41.426
44,17,41.4495
44,18,41.473
44,19,41.4965
44,20,41.52
44,21,41.5435
44,22,41.567
44,23,41.5905
44,24,41.614
44,25,41.6375
44,26,41.661
44,27,41.6845
44,28,41.708
44,29,41.7315
44,30,41.755
44,31,41.7785
44,32,41.802
44,33,41.8255
44,34,41.849
44,35,41.8725
44,36,41.896
44,37,41.9195
44,38,41.943
44,39,41.9665
44,40,41.99
45,1,42.1235
45,2,42.147
45,3,42.1705
45,4,42.194
45,5,42.2175
45,6,42.241
45,7,42.2645
45,8,42.288
45,9,42.3115
45,10,42.335
45,11,42.3585
45,12,42.382
45,13,42.4055
45,14,42.429
45,15,42.4525
45,16,42.476
45,17,42.4995
45,18,42.523
45,19,42.5465
45,20,42.57
45,21,42.5935
45,22,42.617
45,23,42.6405
45,24,42.664
45,25,42.6875
45,26,42.711
45,27,42.7345
45,28,42.758
45,29,42.7815
45,30,42.805
45,31,42.8285
45,32,42.852
45,33,42.8755
45,34,42.899
45,35,42.9225
45,36,42.946
45,37,42.9695
45,38,42.993
45,39,43.0165
45,40,43.04
46,1,43.1735
46,2,43.197
46,3,43.2205
46,4,43.244
46,5,43.2675
46,6,43.291
46,7,43.3145
46,8,43.338
46,9,43.3615
46,10,43.385
46,11,43.4085
46,12,43.432
46,13,43.4555
46,14,43.479
46,15,43.5025
46,16,43.526
46,17,43.5495
46,18,43.573
46,19,43.5965
46,20,43.62
46,21,43.6435
46,22,43.667
46,23,43.6905
46,24,43.714
46,25,43.7375
46,26,43.761
46,27,43.7845
46,28,43.808
46,29,43.8315
46,30,43.855
46,31,43.8785
46,32,43.902
46,33,43.9255
46,34,43.949
46,35,43.9725
46,36,43.996
46,37,44.0195
46,38,44.043
46,39,44.0665
46,40,44.09
47,1,44.2235
47,2,44.247
47,3,44.2705
47,4,44.294
47,5,44.3175
47,6,44.341
47,7,44.3645
47,8,44.388
47,9,44.4115
47,10,44.435
47,11,44.4585
47,12,44.482
47,13,44.5055
47,14,44.529
47,15,44.5525
47,16,44.576
47,17,44.5995
47,18,44.623
47,19,44.6465
47,20,44.67
47,21,44.6935
47,22,44.717
47,23,44.7405
47,24,44.764
47,25,44.7875
47,26,44.811
47,27,44.8345
47,28,44.858
47,29,44.8815
47,30,44.905
47,31,44.9285
47,32,44.952
47,33,44.9755
47,34,44.999
47,35,45.0225
47,36,45.046
47,37,45.0695
47,38,45.093
47,39,45.1165
47,40,45.14
48,1,45.2735
48,2,45.297
48,3,45.3205
48,4,45.344
48,5,45.3675
48,6,45.391
48,7,45.4145
48,8,45.438
48,9,45.4615
48,10,45.485
48,11,45.5085
48,12,45.532
48,13,45.5555
48,14,45.579
48,15,45.6025
48,16,45.626
48,17,45.6495
48,18,45.673
48,19,45.6965
48,20,45.72
48,21,45.7435
48,22,45.767
48,23,45.7905
48,24,45.814
48,25,45.8375
48,26,45.861
48,27,45.8845
48,28,45.908
48,29,45.9315
48,30,45.955
48,31,45.9785
48,32,46.002
48,33,46.0255
48,34,46.049
48,35,46.0725
48,36,46.096
48,37,46.1195
48,38,46.143
48,39,46.1665
48,40,46.19
49,1,46.3235
49,2,46.347
49,3,46.3705
49,4,46.394
49,5,46.4175
49,6,46.441
49,7,46.4645
49,8,46.488
49,9,46.5115
49,10,46.535
49,11,46.5585
49,12,46.582
49,13,46.6055
49,14,46.629
49,15,46.6525
49,16,46.676
49,17,46.6995
49,18,46.723
49,19,46.7465
49,20,46.77
49,21,46.7935
49,22,46.817
49,23,46.8405
49,24,46.864
49,25,46.8875
49,26,46.911
49,27,46.9345
49,28,46.958
49,29,46.9815
49,30,47.005
49,31,47.0285
49,32,47.052
49,33,47.0755
49,34,47.099
49,35,47.1225
49,36,47.146
49,37,47.1695
49,38,47.193
49,39,47.2165
49,40,47.24
50,1,47.3735
50,2,47.397
50,3,47.4205
50,4,47.444
50,5,47.4675
50,6,47.491
50,7,47.5145
50,8,47.538
50,9,47.5615
50,10,47.585
50,11,47.6085
50,12,47.632
50,13,47.6555
50,14,47.679
50,15,47.7025
50,16,47.726
50,17,47.7495
50,18,47.773
50,19,47.7965
50,20,47.82
50,21,47.8435
50,22,47.867
50,23,47.8905
50,24,47.914
50,25,47.9375
50,26,47.961
50,27,47.9845
50,28,48.008
50,29,48.0315
50,30,48.055
50,31,48.0785
50,32,48.102
50,33,48.1255
50,34,48.149
50,35,48.1725
50,36,48.196
50,37,48.2195
50,38,48.243
50,39,48.2665
50,40,48.29
51,1,48.4235
51,2,48.447
51,3,48.4705
51,4,48.494
51,5,48.5175
51,6,48.541
51,7,48.5645
51,8,48.588
51,9,48.6115
51,10,48.635
51,11,48.6585
51,12,48.682
51,13,48.7055
51,14,48.729
51,15,48.7525
51,16,48.776
51,17,48.7995
51,18,48.823
51,19,48.8465
51,20,48.87
51,21,48.8935
51,22,48.917
51,23,48.9405
51,24,48.964
51,25,48.9875
51,26,49.011
51,27,49.0345
51,28,49.058
51,29,49.0815
51,30,49.105
51,31,49.1285
51,32,49.152
51,33,49.1755
51,34,49.199
51,35,49.2225
51,36,49.246
51,37,49.2695
51,38,49.293
51,39,49.3165
51,40,49.34
52,1,49.4735
52,2,49.497
52,3,49.5205
52,4,49.544
52,5,49.5675
52,6,49.591
52,7,49.6145
52,8,49.638
52,9,49.6615
52,10,49.685
52,11,49.7085
52,12,49.732
52,13,49.7555
52,14,49.779
52,15,49.8025
52,16,49.826
52,17,49.8495
52,18,49.873
52,19,49.8965
