Dummy model values for 2007 Jan, Mar, May
         Min     Max       Mean     
Model1  -42.21   145.92    25.81       
Model2   0       165.017   40.19 
Model3  -42.21   174.936   4.96
Model4 -36.63   88.92     29.12 
Model5 -37.63   78.92     25.12 
Model6  -34.63   98.92     19.12 
Model7  -11.04   70.77     15.22 

Model1  -32.21   155.92    35.81       
Model2   0       175.017   44.19 
Model3  -32.21   184.936   10.96
Model4 -33.63   95.92     39.12 
Model5 -34.63   88.92     29.12 
Model6  -24.63   108.92    29.12 
Model7  -5.04    80.77     25.22 

Model1  -22.21   165.92    45.81
Model2   10      175.017   54.19
Model3  -22.21   194.936   30.96
Model4 -23.63   105.92     49.12 
Model5 -34.63   88.92      35.12 
Model6  -14.63   118.92    39.12
Model7  -2.04    90.77     35.22
